173 = "拉普尔迪"  # Lapurdi
209 = "比斯开"  # Bizkaia
210 = "纳法罗阿"  # Nafarroa
197 = "罗塞尔"  # Rosselló
206 = "加力奇亚"  # Galizia
207 = "阿斯图里亚斯"  # Asturias
208 = "莱昂"  # Leon
211 = "皮里宁克"  # Pirinioak
213 = "巴瑟尔纳"  # Bartzelona
214 = "阿拉戈"  # Aragoi
215 = "盖斯特鲁扎哈尔"  # Gaztela Zaharra
217 = "马德利尔"  # Madril
220 = "瓦伦西亚"  # Valentzia
221 = "莫慈亚"  # Murtzia
224 = "塞维利亚"  # Sevilla
225 = "科尔多瓦"  # Kordoba
230 = "阿尔加韦"  # Algarbe
232 = "布拉甘萨"  # Bragantza
333 = "巴尔里尔雷克"  # Balearrak
366 = "卡纳里亚可"  # Kanariak
367 = "阿左雷亚克"  # Azoreak
1745 = "喀坦布里亚"  # Kantabria
89 = "皮卡迪亚"  # Pikardia
93 = "里哈"  # Lieja
94 = "鲁森伯格"  # Luxenburgo
168 = "诺曼底"  # Normandia
174 = "吉耶纳"  # Guiena
175 = "Armańac"
176 = "贝阿尔诺"  # Bearno
184 = "欧尔雷里亚"  # Orleanerria
186 = "香槟"  # Xanpaina
189 = "洛林"  # Lorrena
190 = "波波利亚"  # Borboierria
192 = "勃艮第"  # Borgoina
196 = "托洛萨"  # Tolosa
199 = "奥弗涅"  # Auvernia
200 = "Lengadňc"
201 = "普罗旺斯"  # Provença
203 = "列昂里亚"  # Lyonerria
204 = "多翡娜莉亚"  # Dofinerria
102 = "尼兹"  # Niza
109 = "曼图亚"  # Mantua
116 = "弗洛伦兹"  # Florentzia
118 = "罗马"  # Erroma
127 = "撒丁尼亚"  # Sardinia
205 = "萨沃亚"  # Savoia
1247 = "科西嘉"  # Korsika
1934 = "卢卡尼亚"  # Lukania
492 = "波多黎各"  # Puerto Rico
