197 = "罗塞永"  # Rosellón
211 = "比利牛斯"  # Pirineos
212 = "赫罗纳"  # Gerona
214 = "阿拉贡"  # Aragón
220 = "巴伦西亚"  # Valencia
221 = "穆尔西亚"  # Murcia
222 = "阿尔梅里亚"  # Almería
223 = "格拉纳达"  # Granada
224 = "塞维亚"  # Sevilla
225 = "科尔多瓦"  # Córdoba
226 = "直布罗陀"  # Gibraltar
231 = "奥波尔图"  # Oporto
232 = "布拉甘萨"  # Braganza
333 = "巴利阿里"  # Baleares
367 = "亚速尔"  # Azores
1748 = "哈恩"  # Jaén
1749 = "加的斯"  # Cádiz
1750 = "阿利坎特"  # Alicante
1851 = "科英布拉"  # Coímbra
4550 = "卡斯特永"  # Castellón
4549 = "哈蒂瓦"  # Játiva
90 = "弗兰德斯"  # Flandes
92 = "布拉班特"  # Brabante
96 = "塞兰达"  # Zelanda
97 = "奥兰达"  # Holanda
98 = "乌特雷克"  # Utreque
99 = "圭尔德雷斯"  # Güeldres
100 = "弗里西亚"  # Frisia
1742 = "林堡"  # Limburgo
1744 = "安图埃尔皮亚"  # Antuerpia
1865 = "甘特"  # Gante
102 = "尼萨"  # Niza
103 = "皮亚蒙特"  # Piamonte
104 = "隆巴尔迪亚"  # Lombardía
106 = "摩德纳"  # Módena
109 = "曼图阿"  # Mantua
112 = "贝内西亚"  # Venecia
114 = "罗马涅亚"  # Romaña
116 = "弗洛伦西亚"  # Florencia
120 = "阿夫鲁索斯"  # Abruzos
121 = "纳波莱斯"  # Nápoles
124 = "梅西纳"  # Mesina
127 = "塞尔德尼亚"  # Cerdeña
205 = "萨博亚"  # Saboya
1247 = "科尔塞加"  # Córcega
1875 = "库内奥"  # Cúneo
173 = "拉沃尔特"  # Labort
88 = "阿尔特西亚"  # Artesia
89 = "皮卡迪亚"  # Picardía
91 = "埃瑙"  # Henao
93 = "列哈"  # Lieja
94 = "卢克森堡"  # Luxemburgo
168 = "诺曼迪亚"  # Normandía
174 = "古耶纳"  # Guyena
175 = "阿尔马尼亚克"  # Armañac
176 = "贝阿尔内"  # Bearne
178 = "安赫奥"  # Anjeo
180 = "波依图"  # Poitú
183 = "法兰西亚岛"  # Isla de Francia
184 = "奥尔莱阿内萨多"  # Orleanesado
186 = "香槟尼亚"  # Champaña
189 = "洛雷纳"  # Lorena
190 = "波旁内斯"  # Borbonés
192 = "勃艮尼亚"  # Borgoña
193 = "弗兰戈孔达多"  # Franco Condado
195 = "莱莫辛"  # Lemosín
196 = "托洛萨"  # Tolosa
198 = "鲁埃尔圭"  # Ruergüe
199 = "奥韦尔尼亚"  # Auvernia
200 = "伦瓜多克"  # Lenguadoc
201 = "普罗文萨"  # Provenza
202 = "贝奈辛"  # Condado Venaissin
203 = "利奥内塞"  # Lionese
204 = "德尔菲纳多"  # Delfinado
1879 = "阿伦松"  # Alenzón
41 = "东普鲁西亚"  # Prusia Oriental
42 = "瓦尔米亚"  # Varmia
43 = "丹西格"  # Dánzig
44 = "安堡"  # Hamburgo
46 = "梅克伦堡"  # Mecklemburgo
47 = "西波美拉尼亚"  # Pomerania Occidental
48 = "东波美拉尼亚"  # Pomerania Oriental
50 = "布兰德堡"  # Brandeburgo
53 = "卢内堡"  # Luneburgo
55 = "奥尔登堡"  # Oldemburgo
57 = "布伦斯维克"  # Brunswick
60 = "上卢萨西亚"  # Alta Lusacia
61 = "萨霍尼亚"  # Sajonia
62 = "利普西亚"  # Lipsia
63 = "图林希亚"  # Turingia
64 = "下巴维耶拉"  # Baja Baviera
65 = "慕尼奇"  # Múnich
67 = "努伦贝尔格"  # Núremberg
69 = "孔斯坦萨"  # Constanza
72 = "布里斯戈维亚"  # Brisgovia
75 = "阿尔萨西亚"  # Alsacia
76 = "萨尔斯堡"  # Salzburgo
78 = "马贡西亚"  # Maguncia
79 = "武尔斯堡"  # Wurzburgo
80 = "特雷韦里斯"  # Tréveris
81 = "埃塞"  # Hesse
82 = "贝斯特法利亚"  # Vestfalia
85 = "科洛尼亚"  # Colonia
86 = "穆尼斯特"  # Muñiste
110 = "特伦托"  # Trento
128 = "卡林蒂亚"  # Carintia
129 = "卡尔尼奥拉"  # Carniola
132 = "埃斯蒂里亚"  # Estiria
134 = "比埃纳"  # Viena
165 = "贝尔纳"  # Berna
166 = "森林州"  # Waldstätten
1757 = "上帕拉蒂纳多"  # Alto Palatinado
1758 = "阿诺韦尔"  # Hanóver
1760 = "科布伦萨"  # Coblenza
1761 = "帕拉蒂纳多"  # Palatinado
1763 = "下卢萨西亚"  # Baja Lusacia
1769 = "戈里西亚"  # Gorizia
1841 = "马里恩堡"  # Mariemburgo
1857 = "劳恩堡"  # Lauenburgo
1868 = "奥格斯堡"  # Augsburgo
1869 = "苏利奇"  # Zúrich
1870 = "圣加洛"  # San Galo
1873 = "格里索尼亚"  # Grisonia
1874 = "布雷马"  # Brema
1876 = "弗兰克福尔特"  # Fráncfort
1878 = "阿基斯格兰"  # Aquisgrán
1931 = "东弗里西亚"  # Frisia oriental
96 = "塞兰达"  # Zelanda
97 = "奥兰达"  # Holanda
98 = "乌特雷克"  # Utreque
99 = "圭尔德雷斯"  # Güeldres
100 = "弗里西亚"  # Frisia
90 = "弗兰德斯"  # Flandes
92 = "布拉班特"  # Brabante
1744 = "安图埃尔皮亚"  # Antuerpia
1865 = "甘特"  # Gante
488 = "拉萨瓦纳"  # La Sabana
490 = "圣多明戈"  # Santo Domingo
492 = "波多黎各"  # Puerto Rico
836 = "卡尔塔戈"  # Cartago
839 = "圣萨尔瓦多"  # San Salvador
840 = "特鲁希略"  # Trujillo
854 = "特皮克"  # Tepic
855 = "马萨特兰"  # Mazatlan
857 = "圣路易斯波托西"  # San Luis Potosi
