35 = "萨雷马"  # Sarema
36 = "塔林"  # Talinas
37 = "采西斯"  # Césis
38 = "里加"  # Ryga
39 = "库尔萨斯"  # Kursas
40 = "克莱佩达"  # Klaipéda
41 = "卡拉廖丘斯"  # Karaliaucius
42 = "瓦尔梅"  # Varmé
43 = "格但斯克"  # Gdanskas
269 = "帕伦克"  # Palenké
271 = "热迈提亚"  # Zemaitija
272 = "维尔纽斯"  # Vilnius
273 = "道格皮里斯"  # Daugpilis
275 = "波洛茨克"  # Polockas
276 = "明斯克"  # Minskas
277 = "布拉斯塔"  # Brasta
278 = "平斯克"  # Pinskas
279 = "沃伦"  # Voluine
280 = "基辅"  # Kijevas
282 = "叶迪桑"  # Edisanas
283 = "扎波罗热"  # Zaporoze
289 = "切尔尼戈夫"  # Cernigovas
291 = "哈尔科夫"  # Charkovas
293 = "斯摩棱斯克"  # Smolenskas
297 = "布良斯克"  # Brianskas
298 = "库尔斯克"  # Kurskas
770 = "布兰骚"  # Bransau
771 = "维捷布斯克"  # Vitebskas
1834 = "塔尔图"  # Tartu
1841 = "玛丽恩堡"  # Marienburgas
1842 = "纳尔瓦"  # Narva
1859 = "库尔姆"  # Kulmas
1935 = "泽姆加拉"  # Ziemgala
1936 = "考纳斯"  # Kaunas
1937 = "加尔迪纳斯"  # Gardinas
1941 = "图罗夫"  # Turovas
1942 = "日托米尔"  # Zytomyras
1943 = "布拉茨拉夫"  # Braclavas
1944 = "切尔卡瑟"  # Cerkasai
1945 = "塞维里亚"  # Severija
2406 = "英吉拉斯"  # Ingilas
2407 = "佩列亚斯拉夫尔"  # Perejaslavas
2962 = "罗夫诺"  # Rivne
4115 = "莫济里"  # Mozyrius
4534 = "乌比特"  # Upyte
4535 = "乌克梅尔盖"  # Ukmerge
