tartar = {
    graphical_culture = muslimgfx
    astrakhani = {
        primary = AST
        dynasty_names = {
            "卡拉钦努阿"  # Qara Chinua
            "德勒格儿 忽古"  # Delger Qyugun
            "阿里黑哥"  # Arigh Gal
            "胡库 额尔德尼"  # Koke Erdene
            "苏仁 乌尼根"  # Suren Unegen
            "特古思 恩赫"  # Tegus Enq
            "Qadandei"  # Qadandei
            "Burilgigene"  # Burilgigene
            "Arighteni"  # Arighteni
            "Yekecher"  # Yekecher
            "Surenqai"  # Surenqai
            "Qorchigge"  # Qorchigge
        }
        male_names = {
            "Abdul-Karim"  # Abdul-Karim
            "Abdul-Latif"  # Abdul-Latif
            "Abdul-Rahman"  # Abdul-Rahman
            "Abdullah"  # Abdullah
            "Agalak"  # Agalak
            "Ahmad"  # Ahmad
            "Ak Köbek"  # Ak Köbek
            "Ali Beg"  # Ali Beg
            "Arab Shah"  # Arab Shah
            "Arslan"  # Arslan
            "Baraq"  # Baraq
            "Bek Bulat"  # Bek Bulat
            "Bolaq"  # Bolaq
            "Cherkes"  # Cherkes
            "Chokra"  # Chokra
            "Daniyal"  # Daniyal
            "Darwish"  # Darwish
            "Darwish Ali"  # Darwish Ali
            "Devlet Berdi"  # Devlet Berdi
            "Edigu"  # Edigu
            "Hajji Muhammad"  # Hajji Muhammad
            "Husayn"  # Husayn
            "Ibak"  # Ibak
            "Ibrahim"  # Ibrahim
            "Ilham"  # Ilham
            "Ishim"  # Ishim
            "Jabbar Berdi"  # Jabbar Berdi
            "Jalal al-Din"  # Jalal al-Din
            "Jan Ali"  # Jan Ali
            "Janay"  # Janay
            "Jani Beg"  # Jani Beg
            "Jumaduq"  # Jumaduq
            "Karim Berdi"  # Karim Berdi
            "Kebek"  # Kebek
            "Khalil"  # Khalil
            "Khaqan Beg"  # Khaqan Beg
            "Küchük Muhammad"  # Küchük Muhammad
            "Kuchum"  # Kuchum
            "Mahmud"  # Mahmud
            "Mahmudak"  # Mahmudak
            "Mamai"  # Mamai
            "Mamuk"  # Mamuk
            "Mansur"  # Mansur
            "Muhammad"  # Muhammad
            "Murtaza"  # Murtaza
            "Mustafa Ali"  # Mustafa Ali
            "Nogai"  # Nogai
            "Pulad"  # Pulad
            "Pulad Timur"  # Pulad Timur
            "Qadir Berdi"  # Qadir Berdi
            "Qasim"  # Qasim
            "Sain Bulat"  # Sain Bulat
            "Satilghan"  # Satilghan
            "Sayid Ahmad"  # Sayid Ahmad
            "Sayid Burhan"  # Sayid Burhan
            "Sayid Mahmud"  # Sayid Mahmud
            "Shadi Beg"  # Shadi Beg
            "Shah Ali"  # Shah Ali
            "Shaikh Ahmad"  # Shaikh Ahmad
            "Shaikh Awliar"  # Shaikh Awliar
            "Shaikh Haidar"  # Shaikh Haidar
            "Shiban"  # Shiban
            "Taibugha"  # Taibugha
            "Timur"  # Timur
            "Timur Qutlugh"  # Timur Qutlugh
            "Toqtamish"  # Toqtamish
            "Ulugh Muhammad"  # Ulugh Muhammad
            "Urus"  # Urus
            "Urus Muhammad"  # Urus Muhammad
            "Yadigar Muhammad"  # Yadigar Muhammad
            "Yamghurchi"  # Yamghurchi
        }
        female_names = {
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    bashkir = {
        primary = BSH
        dynasty_names = {
            "Balna"  # Balna
            "Salmiianov"  # Salmiianov
            "Ravna"  # Ravna
            "Taiborey"  # Taiborey
            "Vylka"  # Vylka
            "Kanin"  # Kanin
            "Maimbava"  # Maimbava
            "Arinin"  # Arinin
            "Aven"  # Aven
            "Tsoy"  # Tsoy
        }
        male_names = {
            "Abdul-Karim"  # Abdul-Karim
            "Abdul-Latif"  # Abdul-Latif
            "Abdul-Rahman"  # Abdul-Rahman
            "Abdullah"  # Abdullah
            "Agalak"  # Agalak
            "Ahmad"  # Ahmad
            "Ak Köbek"  # Ak Köbek
            "Ali Beg"  # Ali Beg
            "Arab Shah"  # Arab Shah
            "Arslan"  # Arslan
            "Baraq"  # Baraq
            "Bek Bulat"  # Bek Bulat
            "Bolaq"  # Bolaq
            "Cherkes"  # Cherkes
            "Chokra"  # Chokra
            "Daniyal"  # Daniyal
            "Darwish"  # Darwish
            "Darwish Ali"  # Darwish Ali
            "Devlet Berdi"  # Devlet Berdi
            "Edigu"  # Edigu
            "Hajji Muhammad"  # Hajji Muhammad
            "Husayn"  # Husayn
            "Ibak"  # Ibak
            "Ibrahim"  # Ibrahim
            "Ilham"  # Ilham
            "Ishim"  # Ishim
            "Jabbar Berdi"  # Jabbar Berdi
            "Jalal al-Din"  # Jalal al-Din
            "Jan Ali"  # Jan Ali
            "Janay"  # Janay
            "Jani Beg"  # Jani Beg
            "Jumaduq"  # Jumaduq
            "Karim Berdi"  # Karim Berdi
            "Kebek"  # Kebek
            "Khalil"  # Khalil
            "Khaqan Beg"  # Khaqan Beg
            "Küchük Muhammad"  # Küchük Muhammad
            "Kuchum"  # Kuchum
            "Mahmud"  # Mahmud
            "Mahmudak"  # Mahmudak
            "Mamai"  # Mamai
            "Mamuk"  # Mamuk
            "Mansur"  # Mansur
            "Muhammad"  # Muhammad
            "Murtaza"  # Murtaza
            "Mustafa Ali"  # Mustafa Ali
            "Nogai"  # Nogai
            "Pulad"  # Pulad
            "Pulad Timur"  # Pulad Timur
            "Qadir Berdi"  # Qadir Berdi
            "Qasim"  # Qasim
            "Sain Bulat"  # Sain Bulat
            "Satilghan"  # Satilghan
            "Sayid Ahmad"  # Sayid Ahmad
            "Sayid Burhan"  # Sayid Burhan
            "Sayid Mahmud"  # Sayid Mahmud
            "Shadi Beg"  # Shadi Beg
            "Shah Ali"  # Shah Ali
            "Shaikh Ahmad"  # Shaikh Ahmad
            "Shaikh Awliar"  # Shaikh Awliar
            "Shaikh Haidar"  # Shaikh Haidar
            "Shiban"  # Shiban
            "Taibugha"  # Taibugha
            "Timur"  # Timur
            "Timur Qutlugh"  # Timur Qutlugh
            "Toqtamish"  # Toqtamish
            "Ulugh Muhammad"  # Ulugh Muhammad
